D2,PL23092,SB_GW523
E2,PL23093,SB_GW523
F2,PL23094,SB_GW523
G2,PL23095,SB_GW523
A3,PL23097,SB_GW523
B3,PL23098,SB_GW523
C3,PL23099,SB_GW523
D3,PL23100,SB_GW523
E3,PL23101,SB_GW523
G3,PL23103,SB_GW523
H3,PL23104,SB_GW523
B5,PL23114,SB_GW523
C5,PL23115,SB_GW523
D5,PL23116,SB_GW523
E5,PL23117,SB_GW523
F5,PL23118,SB_GW523
G5,PL23119,SB_GW523
H5,PL23120,SB_GW523
A6,PL23121,SB_GW523
B6,PL23122,SB_GW523
C6,PL23123,SB_GW523
D6,PL23124,SB_GW523
E6,PL23125,SB_GW523
F6,PL23126,SB_GW523
G6,PL23127,SB_GW523
H6,PL23128,SB_GW523
A7,PL23129,SB_GW523
B7,PL23130,SB_GW523
C7,PL23131,SB_GW523
D7,PL23132,SB_GW523
E7,PL23133,SB_GW523
F7,PL23134,SB_GW523
G7,PL23135,SB_GW523
H7,PL23136,SB_GW523
A8,PL23137,SB_GW523
B8,PL23138,SB_GW523
C8,PL23139,SB_GW523
D8,PL23140,SB_GW523
E8,PL23141,SB_GW523
F8,PL23142,SB_GW523
G8,PL23143,SB_GW523
H8,PL23144,SB_GW523
A9,PL23145,SB_GW523
B9,PL23146,SB_GW523
C9,PL23147,SB_GW523
D9,PL23148,SB_GW523
E9,PL23149,SB_GW523
F9,PL23150,SB_GW523
G9,PL23151,SB_GW523
H9,PL23152,SB_GW523
A10,PL23153,SB_GW523
B10,PL23154,SB_GW523
C10,PL23155,SB_GW523
D10,PL23156,SB_GW523
F10,PL23158,SB_GW523
G10,PL23159,SB_GW523
H10,PL23160,SB_GW523
A11,PL23161,SB_GW523
C11,PL23163,SB_GW523
D11,PL23164,SB_GW523
E11,PL23165,SB_GW523
F11,PL23166,SB_GW523
G11,PL23167,SB_GW523
H11,PL23168,SB_GW523
D2,PL23092,DB-HTP-179
E2,PL23093,DB-HTP-179
F2,PL23094,DB-HTP-179
G2,PL23095,DB-HTP-179
A3,PL23097,DB-HTP-179
B3,PL23098,DB-HTP-179
C3,PL23099,DB-HTP-179
D3,PL23100,DB-HTP-179
E3,PL23101,DB-HTP-179
G3,PL23103,DB-HTP-179
H3,PL23104,DB-HTP-179
D2,PL23092,DB-HTP-102
E2,PL23093,DB-HTP-102
F2,PL23094,DB-HTP-102
G2,PL23095,DB-HTP-102
A3,PL23097,DB-HTP-102
B3,PL23098,DB-HTP-102
C3,PL23099,DB-HTP-102
D3,PL23100,DB-HTP-102
E3,PL23101,DB-HTP-102
G3,PL23103,DB-HTP-102
H3,PL23104,DB-HTP-102
G5,PL23119,DB-HTP-102
H5,PL23120,DB-HTP-102
A6,PL23121,DB-HTP-102
B6,PL23122,DB-HTP-102
C6,PL23123,DB-HTP-102
D6,PL23124,DB-HTP-102
E6,PL23125,DB-HTP-102
F6,PL23126,DB-HTP-102
G6,PL23127,DB-HTP-102
H6,PL23128,DB-HTP-102
