A7,PL23129,DB-HTP-102
B7,PL23130,DB-HTP-102
C7,PL23131,DB-HTP-102
D7,PL23132,DB-HTP-102
E7,PL23133,DB-HTP-102
F7,PL23134,DB-HTP-102
G7,PL23135,DB-HTP-102
H7,PL23136,DB-HTP-102
A8,PL23137,DB-HTP-102
B8,PL23138,DB-HTP-102
C8,PL23139,DB-HTP-102
D8,PL23140,DB-HTP-102
E8,PL23141,DB-HTP-102
F8,PL23142,DB-HTP-102
G8,PL23143,DB-HTP-102
H8,PL23144,DB-HTP-102
A9,PL23145,DB-HTP-102
B9,PL23146,DB-HTP-102
C9,PL23147,DB-HTP-102
D9,PL23148,DB-HTP-102
E9,PL23149,DB-HTP-102
F9,PL23150,DB-HTP-102
G9,PL23151,DB-HTP-102
H9,PL23152,DB-HTP-102
A10,PL23153,DB-HTP-102
G10,PL23159,DB-HTP-102
D2,PL23092,DB-HTP-537
E2,PL23093,DB-HTP-537
F2,PL23094,DB-HTP-537
G2,PL23095,DB-HTP-537
A3,PL23097,DB-HTP-537
B3,PL23098,DB-HTP-537
C3,PL23099,DB-HTP-537
D3,PL23100,DB-HTP-537
E3,PL23101,DB-HTP-537
G3,PL23103,DB-HTP-537
H3,PL23104,DB-HTP-537
B5,PL23114,DB-HTP-537
C5,PL23115,DB-HTP-537
D5,PL23116,DB-HTP-537
E5,PL23117,DB-HTP-537
F5,PL23118,DB-HTP-537
G5,PL23119,DB-HTP-537
H5,PL23120,DB-HTP-537
A6,PL23121,DB-HTP-537
B6,PL23122,DB-HTP-537
C6,PL23123,DB-HTP-537
D6,PL23124,DB-HTP-537
E6,PL23125,DB-HTP-537
F6,PL23126,DB-HTP-537
G6,PL23127,DB-HTP-537
H6,PL23128,DB-HTP-537
A7,PL23129,DB-HTP-537
B7,PL23130,DB-HTP-537
C7,PL23131,DB-HTP-537
D7,PL23132,DB-HTP-537
E7,PL23133,DB-HTP-537
F7,PL23134,DB-HTP-537
G7,PL23135,DB-HTP-537
H7,PL23136,DB-HTP-537
A8,PL23137,DB-HTP-537
B8,PL23138,DB-HTP-537
C8,PL23139,DB-HTP-537
D8,PL23140,DB-HTP-537
E8,PL23141,DB-HTP-537
F8,PL23142,DB-HTP-537
G8,PL23143,DB-HTP-537
H8,PL23144,DB-HTP-537
A9,PL23145,DB-HTP-537
B9,PL23146,DB-HTP-537
C9,PL23147,DB-HTP-537
D9,PL23148,DB-HTP-537
E9,PL23149,DB-HTP-537
F9,PL23150,DB-HTP-537
G9,PL23151,DB-HTP-537
H9,PL23152,DB-HTP-537
A10,PL23153,DB-HTP-537
B10,PL23154,DB-HTP-537
C10,PL23155,DB-HTP-537
D10,PL23156,DB-HTP-537
F10,PL23158,DB-HTP-537
G10,PL23159,DB-HTP-537
H10,PL23160,DB-HTP-537
A11,PL23161,DB-HTP-537
C11,PL23163,DB-HTP-537
D11,PL23164,DB-HTP-537
E11,PL23165,DB-HTP-537
F11,PL23166,DB-HTP-537
G11,PL23167,DB-HTP-537
D3,PL23100,DB-HTP-522
G3,PL23103,DB-HTP-522
D3,PL23100,SJ_GW322
G3,PL23103,SJ_GW322
D5,PL23116,SJ_GW322
B6,PL23122,SJ_GW322
E6,PL23125,SJ_GW322
